Name,Status,Last,Series,URL,URL_yd,Описание
Нора,Просмотрено,18,18,https://doramatv.live/norah,,"Это история девушки, семья которой была разрушена ещё до её рождения. Отец Норы был простым танцором, и её прабабушка приложила немало усилий, чтоб избавиться от него и выдать внучку замуж за богатого адвоката из столицы. Нора, ничего не знающая о тайне своего рождения, вырастает одарённой танцовщицей и певицей. И хотя они с матерью носят знатную фамилию, жизнь женщин напоминает скорее жизнь прислуги. Несмотря на это Нора не отчаивается и делает всё, чтобы защитить мать от нападок окружающих. Своим упрямством и готовностью пожертвовать всем ради матери она привлекает Канчита, молодого аристократа с разбитым сердцем, который начинает сходить с ума по юной танцовщице."
Истинная красота,Просмотрено,16,16,https://doramatv.live/istinnaia_krasota,,"Дорама повествует о девушке, которая не может выйти из дома без макияжа. Она влюбляется в Ли Су Хо, единственного парня, который видел ее истинное лицо. Но он — идеал, лучший ученик, кумир девушек. Парень привлекает всеобщее внимание, куда бы ни пошел. Он никем не интересуется, и его не удивляют девушки, выстраивающиеся в очередь, чтобы признаться ему в чувствах. Вопреки этому Ли Су Хо краснеет, когда ему стыдно, а когда он взволнован, то говорит все, что на уме. На самом деле он добросердечный парень, который всегда сожалеет о своих словах из-за вспыльчивого характера."
Любовь навсегда,Не досмотрено,16,28,https://doramatv.live/liubov_navsegda,,"История первой любви Цзян Чжэнханя и Ся Линьси, которые влюбились в старшей школе. Любовь, которая прошла испытание временем, от юности до зрелости, от школьной формы до свадебного платья. Это романтическое путешествие Чжэнханя и Линьси, которые верят, что будут вместе несмотря ни на что."
Мой сосед – кумихо,Просмотрено,16,16,https://doramatv.live/moi_sosed___kumiho,,"Студентка Ли Дам (Хери) случайно проглатывает бусинку 999-летнего кумихо Син У Ё (Чан Ки Ён), который очень близок к достижению своей цели стать человеком, а пока работает профессором в университете.
Если человек проглотит бусинку, он сможет прожить всего лишь год, после чего бусинка разрушится, а кумихо не сможет стать человеком.
Син У Ё предлагает Ли Дам жить вместе, так начинается их неожиданный роман."
Продолжение,Просмотрено,16,16,https://doramatv.live/prodoljenie,,"Ки Сон Гём — бывший участник сборной по легкой атлетике, сын представителя Национальной Ассамблеи и топ-актера, а также младший брат королевы гольфа. Его принудили заниматься спортом, но затем он встретил того, кто даровал ему свободу."
"Сонбэ, не крась губы",Просмотрено,16,16,https://doramatv.live/sonbe__ne_kras_guby,,"Юн Сон А (Вон Джин А) работает маркетологом косметического бренда. Ее мечта — создать собственный косметический бренд. Тем временем, Чхе Хён Сын (Роун) работает с Юн Сон А маркетологом. Он испытывает к ней романтические чувства. Однако, Юн Сон А отвергает его, потому что не хочет встречаться с молодыми парнями."
Стартап,Просмотрено,16,16,https://doramatv.live/startap,,"История о Со Даль Ми, которая мечтает стать следующим Стивом Джобсом, поэтому открывает собственный старт-ап, её первой любви, Нам До Сане, основателе Samsan Tech, и Хан Чжи Пёне (Ким Сон Хо), лидере инвестиционной компании SH Venture Investment Firm. Сюжет расскажет об их мечте создать в Корее подобие Силиконовой Долины, куда стекаются компании, желающие стать будущими Google и Amazon.
Вон Ин Чжэ (Кан Хан На) - исполнительный директор со степенью MBA Уортонской школы бизнеса. У нее прекрасное образование, хорошая внешность, достаток, девушка быстро развила собственный стартап. Многие считают, что она слишком молода для такой карьеры, но она упорно трудилась над своим нынешним положением в обществе. А еще у нее есть семейная тайна."
Так я женился на антифанатке (2021),Просмотрено,16,16,https://doramatv.live/so_i_married_an_anti_fan,,"Ли Гын Ён (Чхве Су Ён) работает редактором в журнале ""Wonder Woman"". Она решает взять интервью у знаменитого Хо Джуна (Чхве Тхэ Джун), но в итоге все заканчивается конфликтом, из-за чего девушку увольняют. Гын Ён начинает проклинать Хо Джуна, что именно он виноват в том, что она потеряла работу. И по определенным обстоятельствам, главные герои были вынуждены жить в доме Хо Джуна."
Школа свиданий,Просмотрено,16,16,https://doramatv.live/shkola_svidanii,,"Дорама расскажет о шести студентах университета, которые записываются в школу свиданий. Их задача - ответить на 36 вопросов, после которых можно влюбиться или подружиться с человеком. На занятиях они изучают взаимоотношения между людьми, учатся решать конфликты, борются с предательством, узнают, что такое дружба и любовь."
Лучшая ошибка,Просмотрено,15,15,https://doramatv.live/luchshaia_oshibka,,"Ким Ён Ду (Ли Ын Джэ) постоянно приходят сообщения от мальчика, который ей не нравится. Поэтому она соврала ему о том, что у неё есть парень, и загрузила случайную фотографию парня из её школы. Но это оказалась фотография Чжи Хён Хо (Кан Ёль), одного из самых популярных учеников в школе…"
Мое маленькое счастье,Смотрю,15,28,https://doramatv.live/moe_malenkoe_schaste,,"Сюжет повествует о любви между юристом-стажером и хирургом, которые воссоединяются через несколько лет. Они становятся коллегами и по совместительству соседями.
Мать Цун Жун устроила так, чтобы она уехала из страны изучать экономику в надежде, что та сможет обосноваться за границей. Однако Цун Жун, которая хочет стать адвокатом, тайком возвращается в страну, чтобы пройти собеседование и начать работать в качестве стажера в юридической фирме. К ее удивлению, ее первым и самым большим препятствием является не кто иной, как ее друг детства Вэнь Шаоцинь. Чтобы пройти стажировку гладко, Цун Жун вступает в битву умов с Вэнь Шаоцином."
Любовное пророчество,Просмотрено,13,13,https://doramatv.live/forecasted_to_love,,"Росита обладает способностью видеть будущее, когда касается розы. Однажды она принимает участие в шоу, где шесть человек держат в руках по розе, которые затем берёт в руки Росита, чтобы увидеть будущее каждого из них. Взяв одновременно все шесть роз, героиня видит себя, объятия и поцелуи с главным героем - Тирутом... а также кровь и много других пугающих видений будущего владельцев этих роз. Она в шоке. Заметив её странную реакцию, Роситу спрашивают, что же она видела, но она промолчала. После шоу кто-то из этой шестёрки пытается убить её. Росите приходится временно переехать в дом Тирута, ведь они при каждой встрече ругаются и их считают врагами. Кто же хочет убить Роситу и сбудутся ли видения о её собственном будущем?"
Зеленая весна вдали,Просмотрено,12,12,https://doramatv.live/blue_spring_from_a_distance,,"История о жизни студентов колледжа.
Ё Джун (Пак Джи Хун) – первокурсник колледжа из богатой семьи, не получавший достаточно любви от своих родителей. Его старший брат Ё Джун Ван (На Ин У) - профессор в его колледже.
Ким Со Бин (Кан Мин А) – честная и трудолюбивая студентка, которая после развода родителей живёт с отцом.
Нам Су Хён (Пэ Ин Хёк) – студент перфекционист. Он красив и имеет отличные оценки по всем предметам. У Нам Су Хёна тяжелое финансовое положение, он работает на разных подработках, чтобы прокормить себя, мать, младшего брата Нам Гу Хёна (Ким Су Гём) и сестру. В силу своего положения он циничен к людям."
Клетки Юми,Смотрю,12,14,https://doramatv.live/kletki_iumi,,"История обычной офисной работницы Юми с точки зрения клеток мозга в ее голове, контролирующих каждую мысль, чувство и действие.
Юми - обычная женщина, которой трудно выражать свои чувства. По мере того как она испытывает рост как в личной жизни, так и в карьере, она учится находить счастье в маленьких радостях повседневной жизни."
Мистер честность,Не досмотрено,12,31,https://doramatv.live/mister_chestnost/series12?mtr=,,"Сюй И Жэнь теряет свои отношения и карьеру за одну ночь. Ее близкий друг Ся Ди рекомендует ее в архитектурную компанию в качестве помощника генерального директора. Во время интервью она узнает, что генеральный директор Фан Чжи Ю - это человек, который раскрыл правду о том, что ее парень изменяет ей публично. Сюй И Жэнь в конце концов получает работу, но перед ней оказывается непростая задача - лгать своему боссу. Но склонность Фан Чжи Юя к публичному разоблачению ее лжи всегда приводит к неприятным ситуациям."
Параллельная любовь,Не досмотрено,12,24,https://doramatv.live/parallelnaia_liubov,,"Необъяснимым образом главная героиня Линь Мяо переносится во времени на 10 лет назад и падает прямо на Цзяо Яна – красивого парня, который оказывается самым молодым в мире вице-президентом компании. Они невзлюбили друг друга с первой встречи. Но Линь Мяо получает сообщение о том, что сможет вернуться назад в 2020 год, только если поможет Цзяо Яну стать президентом за 3 месяца. И так она устраивается на работу и становится его ассистентом. Здесь же она встречает и своего бывшего парня из 2020 года."
Сильная любовь,Не досмотрено,12,25,https://doramatv.live/silnaia_liubov,,"История о любви между гениальным доктором Чжоу Ши Юнь и актрисой Су Джи Бэй. Которые наотрез отказываются жениться по договорённости. Но спустя время они понимают, что любовь между ними предназначена судьбой."
Так было и так будет всегда,Не досмотрено,12,24,https://doramatv.live/tak_bylo_i_tak_budet_vsegda,,"В первый год старшей школы Фан Ли, девушка из небольшого городка, стала одноклассницей самого умного, но холоднго ученика Ло Яня. В то время Ло Янь был кошмаром для Фан Ли. Три года спустя они снова встречаются в университете."
Ты в моём сердце,Просмотрено,12,12,https://doramatv.live/one_in_my_heart,,"Пум и Нын были врагами с детства. Нын высмеивал Пум за её полноту, и девочка ненавидела его за это. Годы спустя Пум заканчивает свою учёбу и находит работу частного преподавателя для девочки из богатой семьи.
Тем временем Нын заканчивает учиться за границей и возвращается домой. Узнав о его возвращении, Пум делает все, чтобы избежать с ним встречи. Но судьба уготовила им встречу на вечеринке, поскольку они оказались партнёрами в танце.
Как только Нын увидел девушку, она ему сразу понравилась. Однако, герой не знает, что эта девушка и есть Пум. Пум, однако, знает точно, кто он, и отказывается танцевать с ним.
Если бы кузен Пум (который рос вместе с главными героями) не показал Ныну фотографию теперешней Пум, юноша так бы и не догадался, кто она. Получив отказ от Пум, Нын продолжает высмеивать её, как в давние времена. Однако, делать это становится всё труднее и труднее для юноши, потому что он больше не может игнорировать привлекательность Пум. Через некоторое время он понимает, что влюблён в девушку."
Ты мой герой,Не досмотрено,12,40,https://doramatv.live/ty_moi_geroi,,"Ми Ка (Ма Сы Чунь), новый врач в госпитале, встречает спецагента Син Кэ Лэя (Бай Цзин Тин) во время учений. Сначала отношения у них не складываются из-за первоначального недопонимания, но они встречаются при разных обстоятельствах еще несколько раз и видят друг друга в новом свете. Однажды после внезапного землетрясения они отправляются в пострадавший район, чтобы помочь в спасательных операциях, и Син Кэ Лэй тронут самоотверженностью Ми Ка. А потом в одной африканской стране начинаются беспорядки, из-за чего Ми Ка с коллегами оказывается в опасной ситуации, но Син Кэ Лэй их, конечно, спасет."
Приморский городок Ча Ча Ча,Смотрю,10,16,https://doramatv.live/primorskii_gorodok_cha_cha_cha,,"Хон Ду Шик (Ким Сон Хо) зарабатывает на жизнь разного рода случайными заработками, всё знает и умеет. Также он местный герой, помогающий людям, когда с ними что-то случается. Хон Ду Шик принимает только минимальную оплату независимо от задачи и неформально разговаривает со всеми, будь то дети или пожилые люди. О нём ходят разные слухи, в частности о том, почему он пропал на несколько лет.
Юн Хе Чжин (Шин Мин А) – дантистка, которая открывает стоматологическую клинику в маленьком городке. Она красивая и умная женщина, к тому же уверенная в себе. Хе Чжин любит ходить по магазинам и может казаться материалисткой, но у неё доброе сердце, и она регулярно делает пожертвования, чтобы поддержать нуждающихся."
"Прошу, не встречайся с этим парнем",Просмотрено,10,10,https://doramatv.live/proshu__ne_vstrechaisia_s_etim_parnem,,"Дорама о женщинах, у которых есть стетоскоп, который позволяет им отличать мужчин, с которыми им не следует встречаться. Интересная история для людей, которые хотят найти любовь, но избегают «неправильного ответа».
Со Джи Сон (Сон Ха Юн) - программист в команде разработчиков интеллектуальной домашней техники. Она случайно разработала программу искусственного интеллекта под названием «Чо Сан Шин», которая идентифицирует людей, и использует её для помощи людям, у которых трудные отношения.
Чон Кук Хи (Ли Джун Ён) - пожарный, который не испытывает дискомфорта от того, что у него нет смартфона. Он единственный, кого «Чо Сан Шин» не может проанализировать.
Мун Е Сыль (Юн Бо Ми из Apink) - одна из трех женщин, которые легко влюбляются. Несмотря на ее сложные отношения, она не теряет своей энергии.
Так Ки Хён (Гон Мин Чжон) – владелица уникального кафе."
Время Эплдог и ДТ,Не досмотрено,9,38,https://doramatv.live/vremia_epldog_i_dt,,"Благодаря упорному труду и таланту, У Бай сумел стать самым молодым звездным игроком национального конкурса роботов. Он сформировал команду и вошел в финальный раунд соревнований, и на одной сцене с ним Ай Цин, человек, который инициировал его страсть. Оба полны решимости содействовать популяризации и применению технологичных роботов в младшем поколении с помощью конкурса роботов, что ускорит процесс омоложения науки и техники в стране. Страсть Ай Цин к своей работе, настойчивость в погоне за ее мечтами и выдающаяся тактика снискали уважение У Бая: они поддержали друг друга в соревновании и привели свою команду к победе."
Новый тайный королевский инспектор,Не досмотрено,9,16,https://doramatv.live/novyi_tainyi_korolevskii_inspektor,,"История тайного королевского инспектора – уникальной должности для династии Чосон. Тайные королевские инспекторы были правительственными чиновниками, которые специально назначались королём, их инкогнито отправляли в провинции для того, чтобы выслушивать истории людей и контролировать чиновников на предмет коррупции. Они были голосом народа и ушами короля и не могли раскрыть себя. Героические достижения тайных королевских инспекторов являются точным представлением справедливости, к которой стремятся многие люди современности.
Сон И Гём - тайный королевский инспектор и младший шестой советник Хонмунгвана. Днём он живёт обычной жизнью бюрократа, выполняя работу по организации библиотеки Хонмунгвана, ночью тайно играет с другими чиновниками и превращается в ловкача. Хотя он кажется простым распутником, который часто посещает дом кисен, когда у него появляются дополнительные деньги, он не всегда вёл такой образ жизни. Когда впервые попал во дворец, он был многообещающим человеком, который занял первое место на госэкзамене. Но со временем он начал больше интересоваться боевыми искусствами, нежели учёбой.
Хон Да Ин - красивая и умная кисэн, которая может заставить мужчин потерять сознание лишь от одной своей улыбки. Она не только впечатляюще танцует и играет на каягыме (традиционный корейский струнный инструмент), но и смелее большинства мужчин.
Пак Чун Сэм - болтливый наивный молодой человек, ничего не знающий о своей семье, который служит Сон И Гёму."
В прямом эфире,Просмотрено,8,8,https://doramatv.live/v_priamom_efire,,"Пэк Хо Ран находится на вершине социальной пирамиды в своей школе, где популярность обеспечивает высокий социальный статус. Несмотря на это, у Пэк Хо Ран есть только один настоящий друг, поскольку она считает себя центром вселенной и смотрит на других сверху вниз. Она присоединяется к клубу радиовещания, которым руководит Го Ын Тэк, чтобы получить от него помощь в поиске таинственной личности, которая пытается раскрыть секрет из прошлого Пэк Хо Ран.
Го Ын Тэк – перфекционист, внимательный к деталям, идеально все планирует и иногда может быть раздражительным. Хотя он строг и непреклонен, когда дело касается его руководства, он никогда не уклоняется от задач, которые ему дают сокурсники.
Рядом с ними До У Джэ, который помогает поддерживать порядок в школе и является близким другом Го Ын Тэка, поскольку они похожи и ставят логику и рациональность превыше всего;
Со Хён – звезда социальных сетей, одна из самых популярных девушек в школе;
Чжи Со Хён – заместитель руководителя клуба и трудолюбивая ученица с впечатляющими оценками;
Кан Джэ И - девушка До У Джэ, которая окутывает его любовью;
Ким Ю Син – наивный парень, похожий на гончую."
Мой замечательный сосед,Просмотрено,8,8,https://doramatv.live/moi_zamechatelnyi_sosed,,"Молодая девушка Ын Чжон устраивается на работу в отдел дизайна и переезжает в город поближе к работе. Комнату (вместе с соседом) ей помогла найти мама. Но кто бы мог подумать, что сосед окажется не так прост."
Моя девушка (2020),Не досмотрено,8,24,https://doramatv.live/moia_devushka__2020_,,История о скупом генеральном директоре и визажисте со шрамом.
Романтические разговоры,Просмотрено,8,8,https://doramatv.live/romanticheskie_razgovory,,"История о девушке Даён, которая переживает тяжелое расставание. В попытках отвлечься, она натыкается на канал одного ютубера, который сразу же привлекает внимание девушки. Время лечит, и все постепенно приходит в норму, но бывший снова дает знать о себе.
""Неприятности приходят тогда, когда меньше всего их ждешь.""
Как переживет героиня очередную встречу с бывшим? И что случится, когда парень мечты окажется всего в паре метров от нее?"
Милый домашний брак,Просмотрено,7,7,https://doramatv.live/milyi_domashnii_brak,,"Молодая пара поженилась практически сразу после знакомства через приложение для знакомств, не зная, что работают в одной компании. Они решили сохранить свой брак в секрете от компании и друзей. Сначала молодые супруги думали, что жениться без любви - это нормально, но постепенно их влекло друг к другу."
Ты дополняешь меня,Не досмотрено,7,40,https://doramatv.live/ty_dopolniaesh_menia,,"В конце 20-го века из-за внезапного решения Цинь Шэншэна бизнес отца Гао Шаня обанкротился. Гао Шань хочет доказать невиновность своего отца, но на своем пути неожиданно влюбляется в дочь Цинь Шэншэна, Цинь Во. Узнав о намерениях Гао Шаня, Цинь Шэншэн заставляет его уйти с работы.
Гао Шань решает отправиться в Гонконг, чтобы начать все с чистого листа, где встречает благодетеля и зарабатывает свой первый в жизни миллион. Под руководством наставника он направляется в Пекин и становится известным инвестором. Вскоре Гао Шань встречает Цинь Во, которая стала финансовым хедхантером. Может ли любовь помочь им снова найти дорогу друг к другу?"
Бурная жизнь в круглосуточном магазине,Просмотрено,6,6,https://doramatv.live/burnaia_jizn_v_kruglosutochnom_magazine,,"История о молодой девушке, устроившейся на работу в мини-маркет, которая попадает в неловкие, с ноткой флирта, отношения с четырьмя красивыми парнями с совершенно разными характерами."
Главный герой моей жизни,Просмотрено,6,6,https://doramatv.live/glavnyi_geroi_moei_jizni,,"Согласно гаданию отца главной героини, ее любовная удача в этом году очень и очень велика.
Друг, соседский парень и бывший! Три первоклассных кандидата, уготованных ""судьбой"".
Сможет ли наша героиня найти среди них того самого?"
